"","Channel 4 Last (C)","Channel 4 Ave. (C)"
"00:00:00","23.721","23.721"
"00:00:30","23.719","23.719"
"00:01:00","23.699","23.699"
"00:01:30","23.684","23.684"
"00:02:00","23.682","23.682"
"00:02:30","23.675","23.675"
"00:03:00","23.668","23.668"
"00:03:30","23.659","23.659"
"00:04:00","23.662","23.662"
"00:04:30","23.661","23.661"
"00:05:00","23.652","23.652"
"00:05:30","23.652","23.652"
"00:06:00","23.669","23.669"
"00:06:30","23.893","23.893"
"00:07:00","24.677","24.677"
"00:07:30","25.070","25.070"
"00:08:00","25.337","25.337"
"00:08:30","25.434","25.434"
"00:09:00","25.538","25.538"
"00:09:30","25.619","25.619"
"00:10:00","25.649","25.649"
"00:10:30","25.690","25.690"
"00:11:00","25.692","25.692"
"00:11:30","25.704","25.704"
"00:12:00","25.697","25.697"
"00:12:30","25.700","25.700"
