Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #0001
Sample Name,Azulene
Formula,C10H8
Molecular Weight (g/mol),128.174
Sample Weight (g),2.0000
Water Temp (deg C),23.01
Room Temp (deg C),23.01
Water Volume (L),2.0
Wire Before (g),0.025
Wire After (g),0.017
=====,=====
Time (s),Temperature (C)
0.00,23.01
30.00,23.00
60.00,23.01
90.00,23.02
120.00,23.01
150.00,23.02
180.00,23.02
210.00,23.03
240.00,23.03
270.00,23.02
300.00,23.01
330.00,24.44
360.00,26.75
390.00,28.48
420.00,29.63
450.00,30.28
480.00,30.69
510.00,30.93
540.00,31.06
570.00,31.12
600.00,31.16
630.00,31.17
660.00,31.18
690.00,31.16
720.00,31.15
750.00,31.15
780.00,31.13
810.00,31.13
840.00,31.15
870.00,31.12
900.00,31.13
930.00,31.12
960.00,31.12
