Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #0001
Sample Name,Azulene
Formula,C10H8
Molecular Weight (g/mol),128.174
Sample Weight (g),2.0000
Water Temp (deg C),23.85
Room Temp (deg C),23.85
Water Volume (L),2.0
Wire Before (g),0.026
Wire After (g),0.016
=====,=====
Time (s),Temperature (C)
0.00,23.85
30.00,23.84
60.00,23.86
90.00,23.84
120.00,23.84
150.00,23.86
180.00,23.85
210.00,23.87
240.00,23.85
270.00,23.84
300.00,23.84
330.00,25.30
360.00,27.57
390.00,29.31
420.00,30.44
450.00,31.14
480.00,31.52
510.00,31.76
540.00,31.90
570.00,31.95
600.00,31.99
630.00,31.99
660.00,32.03
690.00,32.03
720.00,31.99
750.00,32.00
780.00,31.99
810.00,32.00
840.00,31.98
870.00,31.97
900.00,31.97
930.00,31.98
960.00,31.97
