Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #0001
Sample Name,Azulene
Formula,C10H8
Molecular Weight (g/mol),128.174
Sample Weight (g),2.0000
Water Temp (deg C),23.41
Room Temp (deg C),23.41
Water Volume (L),2.0
Wire Before (g),0.025
Wire After (g),0.016
=====,=====
Time (s),Temperature (C)
0.00,23.41
30.00,23.41
60.00,23.41
90.00,23.41
120.00,23.40
150.00,23.43
180.00,23.42
210.00,23.42
240.00,23.43
270.00,23.43
300.00,23.40
330.00,24.86
360.00,27.13
390.00,28.86
420.00,30.02
450.00,30.68
480.00,31.09
510.00,31.32
540.00,31.43
570.00,31.51
600.00,31.56
630.00,31.59
660.00,31.58
690.00,31.56
720.00,31.57
750.00,31.58
780.00,31.57
810.00,31.58
840.00,31.57
870.00,31.55
900.00,31.54
930.00,31.55
960.00,31.53
