"","Channel 4 Last (C)","Channel 4 Ave. (C)"
"00:00:00","21.728","21.728"
"00:00:30","21.729","21.729"
"00:01:00","21.734","21.734"
"00:01:30","21.731","21.731"
"00:02:00","21.724","21.724"
"00:02:30","21.731","21.731"
"00:03:00","21.719","21.719"
"00:03:30","21.713","21.713"
"00:04:00","21.709","21.709"
"00:04:30","21.721","21.721"
"00:05:00","21.715","21.715"
"00:05:30","21.720","21.720"
"00:06:00","21.708","21.708"
"00:06:30","21.714","21.714"
"00:07:00","21.716","21.716"
"00:07:30","21.711","21.711"
"00:08:00","21.708","21.708"
"00:08:30","21.709","21.709"
"00:09:00","21.716","21.716"
"00:09:30","22.056","22.056"
"00:10:00","22.879","22.879"
"00:10:30","23.447","23.447"
"00:11:00","23.675","23.675"
"00:11:30","23.907","23.907"
"00:12:00","24.023","24.023"
"00:12:30","24.094","24.094"
"00:13:00","24.146","24.146"
"00:13:30","24.182","24.182"
"00:14:00","24.198","24.198"
"00:14:30","24.221","24.221"
"00:15:00","24.221","24.221"
"00:15:30","24.240","24.240"
"00:16:00","24.234","24.234"
"00:16:30","24.240","24.240"
"00:17:00","24.227","24.227"
"00:17:30","24.234","24.234"
"00:18:00","24.225","24.225"
"00:18:30","24.224","24.224"
"00:19:00","24.224","24.224"
"00:19:30","24.235","24.235"
"00:20:00","24.229","24.229"
"00:20:30","24.209","24.209"
"00:21:00","24.204","24.204"
"00:21:30","24.208","24.208"
"00:22:00","24.203","24.203"
"00:22:30","24.203","24.203"
"00:23:00","24.206","24.206"
"00:23:30","24.195","24.195"
"00:24:00","24.190","24.190"
"00:24:30","24.176","24.176"
"00:25:00","24.178","24.178"
"00:25:30","24.172","24.172"
"00:26:00","24.190","24.190"
"00:26:30","24.177","24.177"
"00:27:00","24.180","24.180"
"00:27:30","24.165","24.165"
"00:28:00","24.161","24.161"
"00:28:30","24.163","24.163"
"00:29:00","24.156","24.156"
"00:29:30","24.148","24.148"
"00:30:00","24.152","24.152"
"00:30:30","24.156","24.156"
"00:31:00","24.165","24.165"
"00:31:30","24.158","24.158"
"00:32:00","24.148","24.148"
"00:32:30","24.158","24.158"
"00:33:00","24.149","24.149"
"00:33:30","24.154","24.154"
"00:34:00","24.159","24.159"
"00:34:30","24.151","24.151"
"00:35:00","24.155","24.155"
"00:35:30","24.143","24.143"
"00:36:00","24.137","24.137"
"00:36:30","24.143","24.143"
"00:37:00","24.142","24.142"
"00:37:30","24.138","24.138"
"00:38:00","24.134","24.134"
"00:38:30","24.142","24.142"
"00:39:00","24.136","24.136"
"00:39:30","24.125","24.125"
"00:40:00","24.124","24.124"
"00:40:30","24.115","24.115"
