Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #0001
Sample Name,Maleic Anhydride
Formula,C4H2O3
Molecular Weight (g/mol),98.042
Sample Weight (g),1.9000
Water Temp (deg C),21.00
Room Temp (deg C),25.50
Water Volume (L),2.0
Wire Before (g),0.023
Wire After (g),0.015
=====,=====
Time (s), Temperature (C)
0.00,21.00
60.00,21.01
120.00,21.01
180.00,21.02
240.00,21.02
300.00,21.03
315.00,21.04
330.00,21.26
345.00,21.59
360.00,21.94
375.00,22.25
390.00,22.52
405.00,22.74
420.00,22.91
435.00,23.05
450.00,23.15
465.00,23.23
480.00,23.29
540.00,23.42
600.00,23.46
660.00,23.47
720.00,23.47
780.00,23.48
840.00,23.48
900.00,23.48
960.00,23.48
1020.00,23.49
1080.00,23.49
