Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #0001
Sample Name,Naphthalene
Formula,C10H8
Molecular Weight (g/mol),128.174
Sample Weight (g),2.0000
Water Temp (deg C),25.22
Room Temp (deg C),25.22
Water Volume (L),2.0
Wire Before (g),0.028
Wire After (g),0.021
=====,=====
Time (s),Temperature (C)
0.00,25.22
30.00,25.24
60.00,25.21
90.00,25.25
120.00,25.21
150.00,25.23
180.00,25.24
210.00,25.23
240.00,25.23
270.00,25.22
300.00,25.23
330.00,26.62
360.00,28.84
390.00,30.55
420.00,31.65
450.00,32.30
480.00,32.69
510.00,32.93
540.00,33.02
570.00,33.12
600.00,33.13
630.00,33.16
660.00,33.15
690.00,33.15
720.00,33.18
750.00,33.14
780.00,33.15
810.00,33.14
840.00,33.14
870.00,33.13
900.00,33.12
930.00,33.13
960.00,33.13
