Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #0001
Sample Name,Benzoic Acid
Formula,C7H6O2
Molecular Weight (g/mol),122.113
Sample Weight (g),2.0000
Water Temp (deg C),23.11
Room Temp (deg C),23.11
Water Volume (L),2.0
Wire Before (g),0.025
Wire After (g),0.016
=====,=====
Time (s),Temperature (C)
0.00,23.11
30.00,23.12
60.00,23.12
90.00,23.10
120.00,23.09
150.00,23.11
180.00,23.12
210.00,23.13
240.00,23.10
270.00,23.10
300.00,23.10
330.00,24.04
360.00,25.49
390.00,26.62
420.00,27.33
450.00,27.77
480.00,28.04
510.00,28.19
540.00,28.25
570.00,28.29
600.00,28.32
630.00,28.34
660.00,28.32
690.00,28.34
720.00,28.35
750.00,28.32
780.00,28.33
810.00,28.34
840.00,28.32
870.00,28.32
900.00,28.30
930.00,28.31
960.00,28.31
