"","Channel 4 Last (C)","Channel 4 Ave. (C)"
"00:00:00","21.278","21.278"
"00:00:30","21.310","21.310"
"00:01:00","21.322","21.322"
"00:01:30","21.326","21.326"
"00:02:00","21.322","21.322"
"00:02:30","21.317","21.317"
"00:03:00","21.312","21.312"
"00:03:30","21.313","21.313"
"00:04:00","21.295","21.295"
"00:04:30","21.294","21.294"
"00:05:00","21.281","21.281"
"00:05:30","21.288","21.288"
"00:06:00","21.283","21.283"
"00:06:30","21.284","21.284"
"00:07:00","21.316","21.316"
"00:07:30","22.004","22.004"
"00:08:00","22.668","22.668"
"00:08:30","23.104","23.104"
"00:09:00","23.366","23.366"
"00:09:30","23.525","23.525"
"00:10:00","23.636","23.636"
"00:10:30","23.677","23.677"
"00:11:00","23.727","23.727"
"00:11:30","23.750","23.750"
"00:12:00","23.757","23.757"
"00:12:30","23.755","23.755"
"00:13:00","23.754","23.754"
"00:13:30","23.765","23.765"
"00:14:00","23.758","23.758"
"00:14:30","23.746","23.746"
"00:15:00","23.744","23.744"
"00:15:30","23.744","23.744"
"00:16:00","23.740","23.740"
