Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #0001
Sample Name,Naphthalene
Formula,C10H8
Molecular Weight (g/mol),128.174
Sample Weight (g),2.0000
Water Temp (deg C),25.70
Room Temp (deg C),25.70
Water Volume (L),2.0
Wire Before (g),0.027
Wire After (g),0.018
=====,=====
Time (s),Temperature (C)
0.00,25.70
30.00,25.70
60.00,25.68
90.00,25.70
120.00,25.71
150.00,25.70
180.00,25.69
210.00,25.71
240.00,25.70
270.00,25.71
300.00,25.70
330.00,27.08
360.00,29.33
390.00,31.02
420.00,32.13
450.00,32.77
480.00,33.16
510.00,33.38
540.00,33.52
570.00,33.59
600.00,33.60
630.00,33.63
660.00,33.63
690.00,33.62
720.00,33.64
750.00,33.61
780.00,33.62
810.00,33.60
840.00,33.61
870.00,33.62
900.00,33.60
930.00,33.61
960.00,33.60
