Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #0001
Sample Name,Benzoic Acid
Formula,C7H6O2
Molecular Weight (g/mol),122.113
Sample Weight (g),2.0000
Water Temp (deg C),24.52
Room Temp (deg C),24.52
Water Volume (L),2.0
Wire Before (g),0.027
Wire After (g),0.022
=====,=====
Time (s),Temperature (C)
0.00,24.52
30.00,24.51
60.00,24.50
90.00,24.53
120.00,24.52
150.00,24.50
180.00,24.52
210.00,24.51
240.00,24.53
270.00,24.53
300.00,24.53
330.00,25.44
360.00,26.91
390.00,28.04
420.00,28.73
450.00,29.19
480.00,29.43
510.00,29.56
540.00,29.68
570.00,29.72
600.00,29.73
630.00,29.73
660.00,29.74
690.00,29.74
720.00,29.73
750.00,29.72
780.00,29.74
810.00,29.75
840.00,29.73
870.00,29.73
900.00,29.74
930.00,29.70
960.00,29.72
