Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #0001
Sample Name,Benzoic Acid
Formula,C7H6O2
Molecular Weight (g/mol),122.113
Sample Weight (g),2.0000
Water Temp (deg C),22.90
Room Temp (deg C),22.90
Water Volume (L),2.0
Wire Before (g),0.021
Wire After (g),0.017
=====,=====
Time (s),Temperature (C)
0.00,22.90
30.00,22.90
60.00,22.91
90.00,22.90
120.00,22.88
150.00,22.88
180.00,22.92
210.00,22.91
240.00,22.89
270.00,22.91
300.00,22.92
330.00,23.82
360.00,25.28
390.00,26.41
420.00,27.14
450.00,27.56
480.00,27.81
510.00,27.97
540.00,28.03
570.00,28.08
600.00,28.09
630.00,28.13
660.00,28.13
690.00,28.11
720.00,28.13
750.00,28.13
780.00,28.12
810.00,28.11
840.00,28.10
870.00,28.08
900.00,28.10
930.00,28.10
960.00,28.09
