Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #1275
Sample Name,Naphthalene
Formula,C10H8
Molecular Weight (g/mol),128.174
Sample Weight (g),1.9000
Water Temp (deg C),29.90
Room Temp (deg C),24.80
Water Volume (L),2.0
Wire Before (g),0.022
Wire After (g),0.015
=====,=====
Time (s),Temperature (C)
0.00,29.90
30.00,29.88
60.00,29.89
90.00,29.89
120.00,29.88
150.00,29.88
180.00,29.89
210.00,29.87
240.00,29.89
270.00,29.86
300.00,29.87
330.00,31.28
360.00,33.43
390.00,35.06
420.00,36.12
450.00,36.70
480.00,37.07
510.00,37.24
540.00,37.37
570.00,37.39
600.00,37.42
630.00,37.42
660.00,37.46
690.00,37.42
720.00,37.43
750.00,37.43
780.00,37.42
810.00,37.42
840.00,37.41
870.00,37.37
900.00,37.38
930.00,37.36
960.00,37.36
