Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #0001
Sample Name,Naphthalene
Formula,C10H8
Molecular Weight (g/mol),128.174
Sample Weight (g),2.0000
Water Temp (deg C),22.82
Room Temp (deg C),22.82
Water Volume (L),2.0
Wire Before (g),0.029
Wire After (g),0.023
=====,=====
Time (s),Temperature (C)
0.00,22.82
30.00,22.82
60.00,22.82
90.00,22.84
120.00,22.82
150.00,22.80
180.00,22.82
210.00,22.83
240.00,22.81
270.00,22.81
300.00,22.83
330.00,24.24
360.00,26.45
390.00,28.16
420.00,29.23
450.00,29.89
480.00,30.31
510.00,30.52
540.00,30.62
570.00,30.69
600.00,30.73
630.00,30.76
660.00,30.78
690.00,30.77
720.00,30.76
750.00,30.74
780.00,30.77
810.00,30.76
840.00,30.74
870.00,30.73
900.00,30.73
930.00,30.72
960.00,30.74
