"","Channel 4 Last (C)","Channel 4 Ave. (C)"
"00:00:00","21.701","21.701"
"00:00:30","21.725","21.725"
"00:01:00","21.723","21.723"
"00:01:30","21.731","21.731"
"00:02:00","21.725","21.725"
"00:02:30","21.727","21.727"
"00:03:00","21.732","21.732"
"00:03:30","21.707","21.707"
"00:04:00","21.723","21.723"
"00:04:30","21.716","21.716"
"00:05:00","21.901","21.901"
"00:05:30","22.594","22.594"
"00:06:00","23.096","23.096"
"00:06:30","23.606","23.606"
"00:07:00","23.787","23.787"
"00:07:30","23.949","23.949"
"00:08:00","24.106","24.106"
"00:08:30","24.164","24.164"
"00:09:00","24.206","24.206"
"00:09:30","24.195","24.195"
"00:10:00","24.249","24.249"
"00:10:30","24.256","24.256"
"00:11:00","24.286","24.286"
"00:11:30","24.273","24.273"
"00:12:00","24.265","24.265"
"00:12:30","24.268","24.268"
"00:13:00","24.260","24.260"
"00:13:30","24.260","24.260"
"00:14:00","24.250","24.250"
"00:14:30","24.252","24.252"
"00:15:00","24.257","24.257"
