Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #0001
Sample Name,Benzoic Acid
Formula,C7H6O2
Molecular Weight (g/mol),122.113
Sample Weight (g),2.0000
Water Temp (deg C),24.57
Room Temp (deg C),24.57
Water Volume (L),2.0
Wire Before (g),0.026
Wire After (g),0.020
=====,=====
Time (s),Temperature (C)
0.00,24.57
30.00,24.56
60.00,24.58
90.00,24.59
120.00,24.56
150.00,24.59
180.00,24.56
210.00,24.55
240.00,24.56
270.00,24.58
300.00,24.59
330.00,25.51
360.00,26.95
390.00,28.06
420.00,28.81
450.00,29.24
480.00,29.47
510.00,29.63
540.00,29.71
570.00,29.77
600.00,29.79
630.00,29.78
660.00,29.81
690.00,29.81
720.00,29.80
750.00,29.80
780.00,29.80
810.00,29.77
840.00,29.79
870.00,29.76
900.00,29.79
930.00,29.77
960.00,29.75
