"","Channel 4 Last (C)","Channel 4 Ave. (C)"
"00:00:00","21.319","21.319"
"00:00:30","21.328","21.328"
"00:01:00","21.341","21.341"
"00:01:30","21.351","21.351"
"00:02:00","21.344","21.344"
"00:02:30","21.358","21.358"
"00:03:00","21.355","21.355"
"00:03:30","21.351","21.351"
"00:04:00","21.352","21.352"
"00:04:30","21.352","21.352"
"00:05:00","21.362","21.362"
"00:05:30","21.496","21.496"
"00:06:00","22.434","22.434"
"00:06:30","23.032","23.032"
"00:07:00","23.389","23.389"
"00:07:30","23.600","23.600"
"00:08:00","23.738","23.738"
"00:08:30","23.832","23.832"
"00:09:00","23.879","23.879"
"00:09:30","23.916","23.916"
"00:10:00","23.938","23.938"
"00:10:30","23.955","23.955"
"00:11:00","23.962","23.962"
"00:11:30","23.974","23.974"
"00:12:00","23.974","23.974"
"00:12:30","23.969","23.969"
"00:13:00","23.960","23.960"
"00:13:30","23.962","23.962"
"00:14:00","23.956","23.956"
"00:14:30","23.950","23.950"
"00:15:00","23.946","23.946"
"00:15:30","23.954","23.954"
"00:16:00","23.949","23.949"
"00:16:30","23.945","23.945"
"00:17:00","23.957","23.957"
"00:17:30","23.948","23.948"
"00:18:00","",""
"00:18:30","",""
"00:19:00","",""
"00:19:30","",""
