Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #0001
Sample Name,Azulene
Formula,C10H8
Molecular Weight (g/mol),128.174
Sample Weight (g),2.0000
Water Temp (deg C),23.81
Room Temp (deg C),23.81
Water Volume (L),2.0
Wire Before (g),0.026
Wire After (g),0.018
=====,=====
Time (s),Temperature (C)
0.00,23.81
30.00,23.80
60.00,23.81
90.00,23.80
120.00,23.82
150.00,23.81
180.00,23.82
210.00,23.80
240.00,23.79
270.00,23.82
300.00,23.81
330.00,25.26
360.00,27.52
390.00,29.29
420.00,30.40
450.00,31.08
480.00,31.49
510.00,31.70
540.00,31.82
570.00,31.89
600.00,31.95
630.00,31.94
660.00,31.96
690.00,31.98
720.00,31.96
750.00,31.95
780.00,31.94
810.00,31.94
840.00,31.94
870.00,31.93
900.00,31.91
930.00,31.91
960.00,31.94
