"","Channel 4 Last (C)","Channel 4 Ave. (C)"
"00:00:00","20.775","20.775"
"00:00:30","20.799","20.799"
"00:01:00","20.794","20.794"
"00:01:30","20.794","20.794"
"00:02:00","20.841","20.841"
"00:02:30","20.802","20.802"
"00:03:00","20.811","20.811"
"00:03:30","20.807","20.807"
"00:04:00","20.813","20.813"
"00:04:30","20.844","20.844"
"00:05:00","21.318","21.318"
"00:05:30","22.189","22.189"
"00:06:00","22.622","22.622"
"00:06:30","22.908","22.908"
"00:07:00","23.065","23.065"
"00:07:30","23.175","23.175"
"00:08:00","23.257","23.257"
"00:08:30","23.291","23.291"
"00:09:00","23.320","23.320"
"00:09:30","23.342","23.342"
"00:10:00","23.347","23.347"
"00:10:30","23.346","23.346"
"00:11:00","23.352","23.352"
"00:11:30","23.346","23.346"
"00:12:00","23.348","23.348"
"00:12:30","23.343","23.343"
"00:13:00","23.350","23.350"
"00:13:30","23.362","23.362"
"00:14:00","23.342","23.342"
"00:14:30","23.343","23.343"
"00:15:00","23.333","23.333"
"00:15:30","23.336","23.336"
