Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #0001
Sample Name,Naphthalene
Formula,C10H8
Molecular Weight (g/mol),128.174
Sample Weight (g),2.0000
Water Temp (deg C),22.94
Room Temp (deg C),22.94
Water Volume (L),2.0
Wire Before (g),0.030
Wire After (g),0.027
=====,=====
Time (s),Temperature (C)
0.00,22.94
30.00,22.92
60.00,22.93
90.00,22.95
120.00,22.96
150.00,22.96
180.00,22.92
210.00,22.96
240.00,22.93
270.00,22.94
300.00,22.93
330.00,24.36
360.00,26.57
390.00,28.26
420.00,29.38
450.00,30.04
480.00,30.43
510.00,30.63
540.00,30.75
570.00,30.82
600.00,30.87
630.00,30.86
660.00,30.90
690.00,30.86
720.00,30.88
750.00,30.87
780.00,30.84
810.00,30.86
840.00,30.86
870.00,30.84
900.00,30.85
930.00,30.83
960.00,30.85
