Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #0001
Sample Name,Benzoic Acid
Formula,C7H6O2
Molecular Weight (g/mol),122.113
Sample Weight (g),2.0000
Water Temp (deg C),23.11
Room Temp (deg C),23.11
Water Volume (L),2.0
Wire Before (g),0.024
Wire After (g),0.020
=====,=====
Time (s),Temperature (C)
0.00,23.11
30.00,23.13
60.00,23.11
90.00,23.10
120.00,23.11
150.00,23.13
180.00,23.13
210.00,23.11
240.00,23.12
270.00,23.12
300.00,23.11
330.00,24.02
360.00,25.48
390.00,26.63
420.00,27.35
450.00,27.78
480.00,28.04
510.00,28.17
540.00,28.26
570.00,28.29
600.00,28.31
630.00,28.32
660.00,28.34
690.00,28.35
720.00,28.31
750.00,28.31
780.00,28.34
810.00,28.31
840.00,28.31
870.00,28.30
900.00,28.30
930.00,28.33
960.00,28.32
